"sd_label","sd_per_group","sd_ratio","design","mean_n_per_group","n_per_group","route_rank_probability","route_mc_se","mean_resid_excess_kurtosis","sd_resid_excess_kurtosis"
"one group 1:2 (Delacre)","1.0, 1.0, 1.0, 2.0",2,"unbalanced, larger n larger SD",20,"10, 16, 24, 30",0.31,0.0231246621596944,1.0207314817636,0.989304887618145
"one group 1:2 (Delacre)","1.0, 1.0, 1.0, 2.0",2,"unbalanced, larger n larger SD",50,"25, 40, 60, 75",0.71,0.0226881026090769,1.32381069590015,0.799733843061013
"one group 1:2 (Delacre)","1.0, 1.0, 1.0, 2.0",2,"unbalanced, larger n larger SD",100,"50, 80, 120, 150",0.9525,0.0106352891357029,1.31349603306679,0.49770570235462
"one group 1:2 (Delacre)","1.0, 1.0, 1.0, 2.0",2,"unbalanced, larger n smaller SD",10,"15, 12, 8, 5",0.1675,0.0186710839267569,0.726424747130254,1.470784539831
"one group 1:2 (Delacre)","1.0, 1.0, 1.0, 2.0",2,"unbalanced, larger n smaller SD",20,"30, 24, 16, 10",0.2925,0.0227455352761811,1.14289371124303,1.49947486440483
"one group 1:2 (Delacre)","1.0, 1.0, 1.0, 2.0",2,"unbalanced, larger n smaller SD",50,"75, 60, 40, 25",0.5775,0.0246978617495523,1.37470601312509,1.1763555399682
"one group 1:2 (Delacre)","1.0, 1.0, 1.0, 2.0",2,"unbalanced, larger n smaller SD",100,"150, 120, 80, 50",0.82,0.0192093727122985,1.45352607365655,0.87635855363757
"one group 1:4 (Delacre)","1.0, 1.0, 1.0, 4.0",4,"balanced",10,"10, 10, 10, 10",0.8575,0.0174781113110084,3.75566866708663,2.28362798544496
"one group 1:4 (Delacre)","1.0, 1.0, 1.0, 4.0",4,"balanced",20,"20, 20, 20, 20",0.9825,0.00655624702097167,4.83225259541629,2.48097928289448
"one group 1:4 (Delacre)","1.0, 1.0, 1.0, 4.0",4,"balanced",50,"50, 50, 50, 50",1,0,5.1898349446462,1.6227464146475
"one group 1:4 (Delacre)","1.0, 1.0, 1.0, 4.0",4,"balanced",100,"100, 100, 100, 100",1,0,5.45454315712674,1.34572146303962
"one group 1:4 (Delacre)","1.0, 1.0, 1.0, 4.0",4,"unbalanced, larger n larger SD",10,"5, 8, 12, 15",0.79,0.0203654118544163,2.61156057562256,1.75202051012576
"one group 1:4 (Delacre)","1.0, 1.0, 1.0, 4.0",4,"unbalanced, larger n larger SD",20,"10, 16, 24, 30",0.99,0.0049749371855331,3.15376161879307,1.64911874571666
"one group 1:4 (Delacre)","1.0, 1.0, 1.0, 4.0",4,"unbalanced, larger n larger SD",50,"25, 40, 60, 75",1,0,3.40124530627635,1.1611889958683
"one group 1:4 (Delacre)","1.0, 1.0, 1.0, 4.0",4,"unbalanced, larger n larger SD",100,"50, 80, 120, 150",1,0,3.46645942628331,0.854166211075506
"one group 1:4 (Delacre)","1.0, 1.0, 1.0, 4.0",4,"unbalanced, larger n smaller SD",10,"15, 12, 8, 5",0.735,0.0220666603726074,4.53163942189181,3.35438938625035
"one group 1:4 (Delacre)","1.0, 1.0, 1.0, 4.0",4,"unbalanced, larger n smaller SD",20,"30, 24, 16, 10",0.9375,0.0121030729568982,6.05178260513772,3.49615791955152
"one group 1:4 (Delacre)","1.0, 1.0, 1.0, 4.0",4,"unbalanced, larger n smaller SD",50,"75, 60, 40, 25",1,0,7.93629235853556,3.20020865707816
"one group 1:4 (Delacre)","1.0, 1.0, 1.0, 4.0",4,"unbalanced, larger n smaller SD",100,"150, 120, 80, 50",1,0,8.18093012608516,2.62858669958284
