"grid","design","panel","sd_per_group","group_mean_offsets","eta_h_sq_own","rel_effects","constraint_residual"
"omega_fixed","unbalanced n, larger n with smaller SD",2,"2.2, 1.7, 1.3, 1.0","0.0000, 0.3884, 0.7768, 1.1652",0.100910599412768,"0.3517, 0.4092, 0.4932, 0.6033",-1.11022302462516e-16
"omega_fixed","unbalanced n, larger n with smaller SD",3,"2.2, 1.7, 1.3, 1.0","0.0000, 0.3884, 0.7768, 1.1652",0.0809217585797323,"0.3663, 0.4184, 0.4952, 0.5919",0
"omega_fixed","unbalanced n, larger n with smaller SD",4,"2.2, 1.7, 1.3, 1.0","0.0000, 0.3884, 0.7768, 1.1652",0.0978028629273187,"0.3537, 0.4109, 0.4933, 0.6016",0
"omega_fixed","unbalanced n, larger n with smaller SD",5,"2.2, 1.7, 1.3, 1.0","0.0000, 0.3884, 0.7768, 1.1652",0.15369785519937,"0.3179, 0.3866, 0.4924, 0.6272",-1.11022302462516e-15
"etaH_fixed","balanced n, equal SD",1,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75",0.0703956698057136,"0.3975, 0.4651, 0.5347, 0.6027",6.66133814775094e-16
"etaH_fixed","balanced n, equal SD",2,"1.0, 1.0, 1.0, 1.0","0.0000, 0.1984, 0.3968, 0.5951",0.0697449338034167,"0.3985, 0.4650, 0.5338, 0.6028",1.11022302462516e-16
"etaH_fixed","balanced n, equal SD",3,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2384, 0.4767, 0.7151",0.0704474107299128,"0.3974, 0.4653, 0.5343, 0.6029",2.22044604925031e-16
"etaH_fixed","balanced n, equal SD",4,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2285, 0.4571, 0.6856",0.0712020675709594,"0.3969, 0.4652, 0.5343, 0.6035",-2.22044604925031e-16
"etaH_fixed","balanced n, equal SD",5,"1.0, 1.0, 1.0, 1.0","0.0000, 0.1762, 0.3524, 0.5285",0.0704773645401931,"0.3973, 0.4655, 0.5343, 0.6029",1.11022302462516e-16
"etaH_fixed","unbalanced n, equal SD",1,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2715, 0.5430, 0.8146",0.0707503588662695,"0.3588, 0.4304, 0.5047, 0.5805",-1.66533453693773e-16
"etaH_fixed","unbalanced n, equal SD",2,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2157, 0.4313, 0.6470",0.0712207000071929,"0.3579, 0.4297, 0.5058, 0.5802",-3.88578058618805e-16
"etaH_fixed","unbalanced n, equal SD",3,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2583, 0.5166, 0.7749",0.0691450528712567,"0.3596, 0.4311, 0.5057, 0.5790",4.44089209850063e-16
"etaH_fixed","unbalanced n, equal SD",4,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2472, 0.4944, 0.7416",0.070825412413679,"0.3575, 0.4308, 0.5056, 0.5799",1.11022302462516e-16
"etaH_fixed","unbalanced n, equal SD",5,"1.0, 1.0, 1.0, 1.0","0.0000, 0.1914, 0.3827, 0.5741",0.0699307635312135,"0.3599, 0.4309, 0.5041, 0.5803",0
"etaH_fixed","balanced n, unequal SD",1,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4007, 0.8015, 1.2022",0.071022164418493,"0.3886, 0.4741, 0.5444, 0.5929",-4.44089209850063e-16
"etaH_fixed","balanced n, unequal SD",2,"1.0, 1.3, 1.7, 2.2","0.0000, 0.3082, 0.6164, 0.9247",0.0712434822533335,"0.3879, 0.4757, 0.5428, 0.5936",-4.44089209850063e-16
"etaH_fixed","balanced n, unequal SD",3,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4108, 0.8216, 1.2324",0.0712576910542575,"0.3875, 0.4759, 0.5440, 0.5926",7.7715611723761e-16
"etaH_fixed","balanced n, unequal SD",4,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4427, 0.8853, 1.3280",0.070584824156896,"0.3868, 0.4775, 0.5456, 0.5901",3.33066907387547e-16
"etaH_fixed","balanced n, unequal SD",5,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4089, 0.8179, 1.2268",0.0711767344387278,"0.3834, 0.4819, 0.5481, 0.5865",-2.22044604925031e-16
"etaH_fixed","unbalanced n, larger n with larger SD",1,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4527, 0.9054, 1.3581",0.0699563765674098,"0.3458, 0.4372, 0.5147, 0.5731",1.11022302462516e-15
"etaH_fixed","unbalanced n, larger n with larger SD",2,"1.0, 1.3, 1.7, 2.2","0.0000, 0.3497, 0.6994, 1.0491",0.070944996336327,"0.3451, 0.4363, 0.5149, 0.5737",0
"etaH_fixed","unbalanced n, larger n with larger SD",3,"1.0, 1.3, 1.7, 2.2","0.00, 0.46, 0.92, 1.38",0.0709678156940688,"0.3435, 0.4377, 0.5153, 0.5732",1.11022302462516e-16
"etaH_fixed","unbalanced n, larger n with larger SD",4,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4900, 0.9799, 1.4699",0.0695808865824082,"0.3421, 0.4399, 0.5177, 0.5705",7.7715611723761e-16
"etaH_fixed","unbalanced n, larger n with larger SD",5,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4474, 0.8948, 1.3422",0.0702626184903426,"0.3367, 0.4439, 0.5192, 0.5689",-3.33066907387547e-16
"etaH_fixed","unbalanced n, larger n with smaller SD",1,"2.2, 1.7, 1.3, 1.0","0.0000, 0.4114, 0.8228, 1.2342",0.0699755361396365,"0.3781, 0.4237, 0.4937, 0.5864",-1.11022302462516e-16
"etaH_fixed","unbalanced n, larger n with smaller SD",2,"2.2, 1.7, 1.3, 1.0","0.0000, 0.3178, 0.6357, 0.9535",0.0701190137143559,"0.3766, 0.4239, 0.4946, 0.5860",2.22044604925031e-16
"etaH_fixed","unbalanced n, larger n with smaller SD",3,"2.2, 1.7, 1.3, 1.0","0.0000, 0.3592, 0.7185, 1.0777",0.0708115606094558,"0.3750, 0.4246, 0.4943, 0.5864",-3.33066907387547e-16
"etaH_fixed","unbalanced n, larger n with smaller SD",4,"2.2, 1.7, 1.3, 1.0","0.0000, 0.3095, 0.6191, 0.9286",0.0708026135260651,"0.3752, 0.4230, 0.4960, 0.5859",-5.55111512312578e-16
"etaH_fixed","unbalanced n, larger n with smaller SD",5,"2.2, 1.7, 1.3, 1.0","0.0000, 0.1863, 0.3726, 0.5589",0.0692946620733507,"0.3751, 0.4243, 0.4969, 0.5845",0
"typeI","balanced n, equal SD",1,"1.0, 1.0, 1.0, 1.0","0, 0, 0, 0",2.14829205103599e-06,"0.5001, 0.5006, 0.4994, 0.5000",3.33066907387547e-16
"typeI","balanced n, equal SD",2,"1.0, 1.0, 1.0, 1.0","0, 0, 0, 0",5.31609913035198e-06,"0.5008, 0.5002, 0.4999, 0.4990",-4.9960036108132e-16
"typeI","balanced n, equal SD",3,"1.0, 1.0, 1.0, 1.0","0, 0, 0, 0",1.7447947723538e-06,"0.5000, 0.5002, 0.5004, 0.4994",2.22044604925031e-16
"typeI","balanced n, equal SD",4,"1.0, 1.0, 1.0, 1.0","0, 0, 0, 0",5.19048035760405e-06,"0.5004, 0.4992, 0.4995, 0.5009",-2.22044604925031e-16
"typeI","balanced n, equal SD",5,"1.0, 1.0, 1.0, 1.0","0, 0, 0, 0",7.62541992359433e-06,"0.4986, 0.5005, 0.5004, 0.5004",-9.43689570931383e-16
"typeI","balanced n, unequal SD",1,"1.0, 1.3, 1.7, 2.2","0, 0, 0, 0",3.44913592123653e-06,"0.4999, 0.5000, 0.4993, 0.5008",1.11022302462516e-16
"typeI","balanced n, unequal SD",2,"1.0, 1.3, 1.7, 2.2","0, 0, 0, 0",2.79781116862688e-06,"0.4997, 0.4999, 0.4996, 0.5008",-5.55111512312578e-16
