"design_set","design","omega_sq_regime","omega_sq","shift_scale","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","ps_kw_power","ps_kw_mc_se","ps_ats_power","ps_ats_mc_se","ats_h0p_power","ats_h0p_mc_se"
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","25, 40, 60, 75",50,"F.P.",2,0,6,0.61248,0.00217875308192553,0.66148,0.00211624294257536,0.67536,0.00209403376477076
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","25, 40, 60, 75",50,"F.P.",3,0.5,1,0.27852,0.00200472746077865,0.33244,0.00210676836125854,0.34746,0.00212946729676696
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","25, 40, 60, 75",50,"F.P.",4,1,1.6,0.16538,0.00166150206500022,0.20308,0.00179910262964624,0.2156,0.00183911195961529
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","25, 40, 60, 75",50,"F.P.",5,2,6.6,0.11168,0.00140859914525034,0.12682,0.00148819815616066,0.13448,0.00152574656873283
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","50, 80, 120, 150",100,"normal",1,0,0,0.68618,0.00207526869392857,0.76012,0.00190964701240831,0.77194,0.00187642551890556
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","50, 80, 120, 150",100,"F.P.",2,0,6,0.92942,0.00114541227162974,0.94616,0.00100936865812249,0.9496,0.000978364349309601
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","50, 80, 120, 150",100,"F.P.",3,0.5,1,0.57218,0.00221264569057045,0.63668,0.00215090017248593,0.65092,0.00213177462973927
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","50, 80, 120, 150",100,"F.P.",4,1,1.6,0.34042,0.00211912351504107,0.39562,0.00218680047375155,0.41028,0.00219977417750095
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","50, 80, 120, 150",100,"F.P.",5,2,6.6,0.20934,0.00181943268300864,0.2274,0.00187450921576822,0.2383,0.00190532469673807
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","100, 160, 240, 300",200,"normal",1,0,0,0.96254,0.00084919666037968,0.97904,0.000640635284697931,0.98094,0.000611501699098211
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","100, 160, 240, 300",200,"F.P.",2,0,6,0.99936,0.000113100875328175,0.9996,8.94248287669544e-05,0.9996,8.94248287669544e-05
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","100, 160, 240, 300",200,"F.P.",3,0.5,1,0.90266,0.00132563135448736,0.9306,0.0011365178397192,0.9352,0.00110091743559633
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","100, 160, 240, 300",200,"F.P.",4,1,1.6,0.66508,0.00211068042867697,0.7201,0.00200776487667256,0.73154,0.0019818639125833
"brunner","unbalanced n, larger n with larger SD","het",0.028733306353703,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","100, 160, 240, 300",200,"F.P.",5,2,6.6,0.42138,0.0022082522301585,0.44404,0.00222201925464205,0.45862,0.00222839716208758
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","5, 8, 12, 15",10,"normal",1,0,0,0.1913,0.00175900147811194,0.10118,0.00134864826845253,0.10588,0.00137600454650412
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","5, 8, 12, 15",10,"F.P.",2,0,6,0.2373,0.00190257041919609,0.13254,0.00151639802426672,0.13908,0.00154749315733544
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","5, 8, 12, 15",10,"F.P.",3,0.5,1,0.23804,0.00190460997792199,0.12142,0.00146066548942597,0.12538,0.00148094466878408
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","5, 8, 12, 15",10,"F.P.",4,1,1.6,0.29904,0.00204751106663676,0.13876,0.00154599910996093,0.14098,0.00155630742207316
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","5, 8, 12, 15",10,"F.P.",5,2,6.6,0.47268,0.00223272755883919,0.20002,0.00178892146054543,0.19894,0.00178528920010176
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","10, 16, 24, 30",20,"normal",1,0,0,0.2919,0.00203319644894437,0.1375,0.00154008928312614,0.13468,0.0015267042778482
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","10, 16, 24, 30",20,"F.P.",2,0,6,0.40374,0.00219423796521708,0.2082,0.00181577950203212,0.20598,0.00180860299457897
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","10, 16, 24, 30",20,"F.P.",3,0.5,1,0.38564,0.00217679484747645,0.18288,0.00172878515495709,0.17776,0.0017097449072888
"brunner","unbalanced n, larger n with smaller SD","het",0.0243282728831862,1,"0.00, 0.25, 0.50, 0.75","2.2361, 2.0000, 1.4142, 1.0000","10, 16, 24, 30",20,"F.P.",4,1,1.6,0.49372,0.00223589159665669,0.22966,0.00188104377620512,0.21952,0.00185111301437811
