"design","mean_n_per_group","n_per_group","sd_per_group","distribution","panel","skew","excess_kurtosis","rank_null_true","rank_rejection","ps_kw_rejection","ps_kw_mc_se","ps_ats_rejection","ps_ats_mc_se"
"unbalanced n, larger n with smaller SD",20,"10, 16, 24, 30","2.2, 1.7, 1.3, 1.0","F.P.",2,0,6,TRUE,0.07566,0.10216,0.00135442485505841,0.05742,0.00104041283729104
"unbalanced n, larger n with smaller SD",20,"10, 16, 24, 30","2.2, 1.7, 1.3, 1.0","F.P.",3,0.5,1,FALSE,0.08448,0.11962,0.00145128257482821,0.06304,0.00108688507580149
"unbalanced n, larger n with smaller SD",20,"10, 16, 24, 30","2.2, 1.7, 1.3, 1.0","F.P.",4,1,1.6,FALSE,0.10294,0.14736,0.00158521311122511,0.07328,0.00116541873676374
"unbalanced n, larger n with smaller SD",20,"10, 16, 24, 30","2.2, 1.7, 1.3, 1.0","F.P.",5,2,6.6,FALSE,0.17992,0.24954,0.00193530250038592,0.11258,0.00141354691184976
"balanced n, equal SD",30,"30, 30, 30, 30","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.04664,0.0465,0.000941676696111781,0.04778,0.000953908502949837
"balanced n, equal SD",30,"30, 30, 30, 30","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.0483,0.04964,0.000971348242393015,0.05066,0.000980750369869928
"balanced n, equal SD",30,"30, 30, 30, 30","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.0504,0.04894,0.000964830310469152,0.05044,0.000978731897916891
"balanced n, equal SD",30,"30, 30, 30, 30","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,FALSE,0.04884,0.04926,0.000967816639658567,0.05018,0.000976339772825014
"balanced n, equal SD",30,"30, 30, 30, 30","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,FALSE,0.0481,0.04888,0.000964269107666527,0.04998,0.000974494736773883
"balanced n, unequal SD",30,"30, 30, 30, 30","1.0, 1.3, 1.7, 2.2","normal",1,0,0,TRUE,0.05614,0.05396,0.00101042880402332,0.05216,0.000994377537960306
"balanced n, unequal SD",30,"30, 30, 30, 30","1.0, 1.3, 1.7, 2.2","F.P.",2,0,6,TRUE,0.05288,0.05212,0.000994017158805621,0.05112,0.000984954268989175
"balanced n, unequal SD",30,"30, 30, 30, 30","1.0, 1.3, 1.7, 2.2","F.P.",3,0.5,1,FALSE,0.05992,0.05962,0.00105891884108273,0.0578,0.00104363940132596
"balanced n, unequal SD",30,"30, 30, 30, 30","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,FALSE,0.08522,0.0844,0.00124319459458284,0.0813,0.00122221364744467
"balanced n, unequal SD",30,"30, 30, 30, 30","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,FALSE,0.19822,0.20172,0.00179459767970428,0.193,0.00176494192539018
"unbalanced n, equal SD",30,"15, 24, 36, 45","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.04854,0.05954,0.00105825316819748,0.04972,0.000972089724253888
"unbalanced n, equal SD",30,"15, 24, 36, 45","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.04812,0.06192,0.00107783035399825,0.05078,0.000981849190049063
"unbalanced n, equal SD",30,"15, 24, 36, 45","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.04798,0.0583,0.00104786554481002,0.04814,0.000957314372607035
"unbalanced n, equal SD",30,"15, 24, 36, 45","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,FALSE,0.04692,0.06002,0.00106223914068349,0.05102,0.000984042271449758
"unbalanced n, equal SD",30,"15, 24, 36, 45","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,FALSE,0.0475,0.05946,0.0010575869552902,0.04956,0.000970606062210617
"unbalanced n, larger n with larger SD",30,"15, 24, 36, 45","1.0, 1.3, 1.7, 2.2","normal",1,0,0,TRUE,0.0302,0.03388,0.000809100063032997,0.0431,0.000908211319022176
"unbalanced n, larger n with larger SD",30,"15, 24, 36, 45","1.0, 1.3, 1.7, 2.2","F.P.",2,0,6,TRUE,0.03388,0.03692,0.000843290146983824,0.04408,0.000918008209113622
"unbalanced n, larger n with larger SD",30,"15, 24, 36, 45","1.0, 1.3, 1.7, 2.2","F.P.",3,0.5,1,FALSE,0.036,0.03918,0.000867697269789412,0.04994,0.000974125211664291
"unbalanced n, larger n with larger SD",30,"15, 24, 36, 45","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,FALSE,0.05288,0.05802,0.00104550159827711,0.07332,0.00116571160755995
