"design_set","design","omega_sq_regime","effect_size","shift_scale","omega_sq","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","fisher_power","welch_power","mean_power","rank_power","sw_power","gate_power","fisher_mc_se","welch_mc_se","mean_mc_se","rank_mc_se","sw_mc_se","gate_mc_se","route_fisher_probability","route_welch_probability","route_rank_probability"
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","100, 100, 100, 100",100,"F.P.",4,1,1.6,0.78288,0.84586,0.84586,0.41964,0.41966,0.41966,0.00184379448746329,0.00161481181813857,0.00161481181813857,0.0022069991862255,0.00220701374893769,0.00220701374893769,0,2e-05,0.99998
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","100, 100, 100, 100",100,"F.P.",5,2,6.6,0.79658,0.84928,0.84928,0.24974,0.24974,0.24974,0.00180022389496418,0.00160002175985203,0.00160002175985203,0.00193581989038237,0.00193581989038237,0.00193581989038237,0,0,1
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","200, 200, 200, 200",200,"normal",1,0,0,0.98164,0.99262,0.99262,0.9813,0.98214,0.98214,0.000600381718575775,0.000382767177276215,0.000382767177276215,0.000605810366368884,0.000592300943777739,0.000592300943777739,0,0.06802,0.93198
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","200, 200, 200, 200",200,"F.P.",2,0,6,0.97988,0.99202,0.99202,0.9998,0.9998,0.9998,0.000627936073179428,0.000397902490567727,0.000397902490567727,6.32392283317844e-05,6.32392283317844e-05,6.32392283317844e-05,0,0,1
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","200, 200, 200, 200",200,"F.P.",3,0.5,1,0.9832,0.99324,0.99324,0.94148,0.94148,0.94148,0.000574765343422862,0.000366450607858685,0.000366450607858685,0.00104971814883806,0.00104971814883806,0.00104971814883806,0,6e-05,0.99994
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","200, 200, 200, 200",200,"F.P.",4,1,1.6,0.98554,0.99288,0.99288,0.74202,0.74202,0.74202,0.00053387092822142,0.000376013446568072,0.000376013446568072,0.00195666205360047,0.00195666205360047,0.00195666205360047,0,0,1
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","200, 200, 200, 200",200,"F.P.",5,2,6.6,0.98894,0.9936,0.9936,0.47594,0.47594,0.47594,0.000467710944922181,0.000356624171923328,0.000356624171923328,0.00223347763096029,0.00223347763096029,0.00223347763096029,0,0,1
"brunner","unbalanced n, larger n with larger SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.028733306353703,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","5, 8, 12, 15",10,"normal",1,0,0,0.05604,0.11138,0.08084,0.061,0.10986,0.08356,0.00102858658750734,0.00140694346439365,0.00121905614636898,0.00107031770984133,0.00139850477582309,0.0012375599088529,0.69954,0.21916,0.0813
"brunner","unbalanced n, larger n with larger SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.028733306353703,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","5, 8, 12, 15",10,"F.P.",2,0,6,0.05894,0.12192,0.07454,0.09378,0.1145,0.09898,0.00105324333750563,0.00146325331778199,0.00117459600203644,0.00130372782128786,0.00142400667133269,0.00133553704254131,0.39736,0.07376,0.52888
"brunner","unbalanced n, larger n with larger SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.028733306353703,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","5, 8, 12, 15",10,"F.P.",3,0.5,1,0.04974,0.11106,0.07398,0.055,0.10154,0.07716,0.000972274985793628,0.00140517384262589,0.0011705294494373,0.00101955872807799,0.00135077480284465,0.00119336779242612,0.59198,0.17904,0.22898
"brunner","unbalanced n, larger n with larger SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.028733306353703,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","5, 8, 12, 15",10,"F.P.",4,1,1.6,0.0429,0.1177,0.07608,0.04332,0.09026,0.0706,0.000906196336342186,0.00144115724332912,0.00118567983536872,0.000910421634189346,0.0012815079586175,0.00114556222004743,0.39178,0.16496,0.44326
"brunner","unbalanced n, larger n with larger SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.028733306353703,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","5, 8, 12, 15",10,"F.P.",5,2,6.6,0.03674,0.13442,0.08478,0.0397,0.06032,0.0553,0.000841310553838474,0.00152545903648705,0.00124573152484795,0.00087319997709574,0.00106472059809135,0.00102217327298262,0.06858,0.06064,0.87078
"brunner","unbalanced n, larger n with larger SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.028733306353703,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","10, 16, 24, 30",20,"normal",1,0,0,0.09658,0.20678,0.17508,0.11822,0.20248,0.17554,0.00132100191975636,0.00181119867270269,0.00169957049633135,0.00144391157346979,0.00179711908119635,0.00170132717841102,0.36484,0.52788,0.10728
"brunner","unbalanced n, larger n with larger SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.028733306353703,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","10, 16, 24, 30",20,"F.P.",2,0,6,0.10674,0.2373,0.15724,0.21032,0.22502,0.21476,0.0013809168867097,0.00190257041919609,0.00162797777871812,0.00182255588446555,0.00186754383937834,0.00183650833050112,0.1114,0.05604,0.83256
"brunner","unbalanced n, larger n with larger SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.028733306353703,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","10, 16, 24, 30",20,"F.P.",3,0.5,1,0.08874,0.2101,0.17052,0.09836,0.16336,0.14494,0.00127173277381689,0.00182185614141183,0.00168192110159781,0.00133180561945053,0.00165332096339459,0.00157437223298685,0.27114,0.31182,0.41704
"brunner","unbalanced n, larger n with larger SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.028733306353703,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","10, 16, 24, 30",20,"F.P.",4,1,1.6,0.07988,0.2158,0.1832,0.06854,0.10656,0.10152,0.00121242884822162,0.00183973019761051,0.00172995814978282,0.0011299758262901,0.00137989105656932,0.00135065680022721,0.08216,0.13882,0.77902
"brunner","unbalanced n, larger n with larger SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.028733306353703,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","10, 16, 24, 30",20,"F.P.",5,2,6.6,0.07122,0.24274,0.20068,0.05498,0.05606,0.05594,0.00115019747521893,0.00191737994356883,0.00179113113757759,0.00101938412387088,0.00102875921769868,0.0010277228848284,0.00064,0.00256,0.9968
"brunner","unbalanced n, larger n with larger SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.028733306353703,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","15, 24, 36, 45",30,"normal",1,0,0,0.14674,0.30204,0.28604,0.18338,0.29292,0.2799,0.00158244982479698,0.00205334769778525,0.00202099539039553,0.0017306170899422,0.00203527822962857,0.00200776487667256,0.13698,0.72778,0.13524
"brunner","unbalanced n, larger n with larger SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.028733306353703,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","15, 24, 36, 45",30,"F.P.",2,0,6,0.156,0.33848,0.26226,0.3311,0.33726,0.3346,0.00162273842624127,0.00211618189010302,0.00196712832524978,0.00210462723540298,0.00211431167238891,0.00211017932887231,0.0246,0.02792,0.94748
"brunner","unbalanced n, larger n with larger SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.028733306353703,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","15, 24, 36, 45",30,"F.P.",3,0.5,1,0.1381,0.31048,0.28882,0.14868,0.21588,0.20832,0.0015429088761168,0.00206921323019161,0.00202683500857865,0.00159106415709738,0.00183997731290361,0.00181616506738787,0.0956,0.34182,0.56258
"brunner","unbalanced n, larger n with larger SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.028733306353703,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","15, 24, 36, 45",30,"F.P.",4,1,1.6,0.12732,0.31104,0.29716,0.09164,0.10782,0.10726,0.00149070196618908,0.00207023727335781,0.0020438000606713,0.00129028764544965,0.00138704612468367,0.00138387349421831,0.01188,0.06086,0.92726
"brunner","unbalanced n, larger n with larger SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.028733306353703,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","15, 24, 36, 45",30,"F.P.",5,2,6.6,0.12,0.34186,0.31856,0.0717,0.0717,0.0717,0.0014532721699668,0.00212128140707451,0.00208364836956719,0.00115376869432309,0.00115376869432309,0.00115376869432309,0,0,1
"brunner","unbalanced n, larger n with larger SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.028733306353703,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","25, 40, 60, 75",50,"normal",1,0,0,0.264,0.49488,0.49304,0.32156,0.47058,0.46914,0.00197131428240146,0.00223595074006562,0.00223585132958343,0.00208882343150397,0.00223219382491754,0.00223180492158253,0.01076,0.80148,0.18776
"brunner","unbalanced n, larger n with larger SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.028733306353703,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","25, 40, 60, 75",50,"F.P.",2,0,6,0.27568,0.52834,0.4913,0.57272,0.57306,0.57298,0.00199840204963866,0.00223247326702919,0.00223572945590472,0.00221229203135572,0.00221206797544741,0.00221212079055372,8e-04,0.0033,0.9959
"brunner","unbalanced n, larger n with larger SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.028733306353703,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","25, 40, 60, 75",50,"F.P.",3,0.5,1,0.25842,0.4998,0.49654,0.2534,0.30252,0.30194,0.00195774923624043,0.00223606779861434,0.00223601443823603,0.00194519119882854,0.00205427188852888,0.00205315482319283,0.00724,0.22378,0.76898
"brunner","unbalanced n, larger n with larger SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.028733306353703,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","25, 40, 60, 75",50,"F.P.",4,1,1.6,0.24818,0.49854,0.49674,0.14876,0.15064,0.1506,0.00193176959081563,0.00223605844467447,0.00223602044892259,0.00159141737077361,0.00159967240646327,0.00159949767114554,0.00018,0.00562,0.9942
"brunner","unbalanced n, larger n with larger SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.028733306353703,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","25, 40, 60, 75",50,"F.P.",5,2,6.6,0.24208,0.52478,0.51872,0.10256,0.10256,0.10256,0.00191560577155113,0.00223332018125481,0.00223450021973595,0.00135677150913483,0.00135677150913483,0.00135677150913483,0,0,1
"brunner","unbalanced n, larger n with larger SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.028733306353703,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","50, 80, 120, 150",100,"normal",1,0,0,0.5835,0.82586,0.82586,0.65836,0.77818,0.77818,0.00220466664146759,0.00169596733694962,0.00169596733694962,0.00212095313668171,0.00185804137521208,0.00185804137521208,0,0.6684,0.3316
"brunner","unbalanced n, larger n with larger SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.028733306353703,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","50, 80, 120, 150",100,"F.P.",2,0,6,0.5895,0.83148,0.83036,0.91072,0.91072,0.91072,0.00219995340859755,0.00167404306754635,0.00167846519415804,0.00127521826837605,0.00127521826837605,0.00127521826837605,0,0,1
"brunner","unbalanced n, larger n with larger SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.028733306353703,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","50, 80, 120, 150",100,"F.P.",3,0.5,1,0.58794,0.82702,0.82702,0.53994,0.54726,0.54726,0.00220121128654203,0.00169149590363087,0.00169149590363087,0.00222892259354155,0.00222605701813768,0.00222605701813768,0,0.0323,0.9677
