"alternative","n_per_group","delta","panel","skew","excess_kurtosis","group_means","fisher_power","welch_power","mean_power","rank_power","sw_power","gate_power","rank_mc_se"
"onepoint",10,1.6,5,2,6.6,"0.000, 0.000, 0.000, 1.600",0.942820000000001,0.97942,0.955180000000001,0.98894,0.98978,0.9894,0.000467710944922174
"onepoint",20,0,1,0,0,"0.000, 0.000, 0.000, 0.000",0.0504199999999998,0.0501399999999999,0.0515600000000001,0.0475399999999997,0.0506800000000001,0.05234,0.000951629638042025
"onepoint",20,0,2,0,6,"0.000, 0.000, 0.000, 0.000",0.0467199999999998,0.0414599999999998,0.04632,0.04724,0.0493,0.0515999999999998,0.000948771652190346
"onepoint",20,0,3,0.5,1,"0.000, 0.000, 0.000, 0.000",0.0485999999999997,0.0488200000000005,0.0494200000000001,0.0465999999999998,0.0508800000000004,0.0526599999999995,0.00094263927352938
"onepoint",20,0,4,1,1.6,"0.000, 0.000, 0.000, 0.000",0.04924,0.0518200000000005,0.0502799999999995,0.0485799999999995,0.0522200000000009,0.0525600000000003,0.000961457056763323
"onepoint",20,0,5,2,6.6,"0.000, 0.000, 0.000, 0.000",0.045519999999999,0.0563799999999996,0.0493000000000003,0.0479000000000001,0.0479600000000002,0.0480000000000003,0.000955045443944948
"onepoint",20,0.2,1,0,0,"0.000, 0.000, 0.000, 0.200",0.0854799999999998,0.0842800000000003,0.0868200000000001,0.0804799999999997,0.0850199999999999,0.0878999999999998,0.00121657691577639
"onepoint",20,0.2,2,0,6,"0.000, 0.000, 0.000, 0.200",0.08568,0.0836799999999997,0.0860800000000001,0.10442,0.106320000000001,0.10898,0.00136759982158525
"onepoint",20,0.2,3,0.5,1,"0.000, 0.000, 0.000, 0.200",0.0825799999999999,0.0837799999999999,0.0838799999999995,0.0832399999999997,0.0877599999999999,0.0893199999999995,0.00123540359721024
"onepoint",20,0.2,4,1,1.6,"0.000, 0.000, 0.000, 0.200",0.0879399999999996,0.0909999999999999,0.0887800000000001,0.0895600000000007,0.0945000000000002,0.0952399999999997,0.00127702001863714
"onepoint",20,0.2,5,2,6.6,"0.000, 0.000, 0.000, 0.200",0.0839000000000001,0.0997000000000006,0.0882800000000001,0.121,0.12118,0.12118,0.00145848551586912
"onepoint",20,0.4,1,0,0,"0.000, 0.000, 0.000, 0.400",0.216580000000002,0.210039999999999,0.218399999999998,0.20114,0.21214,0.220159999999998,0.00179266673087889
"onepoint",20,0.4,2,0,6,"0.000, 0.000, 0.000, 0.400",0.22604,0.2346,0.229119999999999,0.3072,0.30496,0.307660000000001,0.00206314400854618
"onepoint",20,0.4,3,0.5,1,"0.000, 0.000, 0.000, 0.400",0.215619999999999,0.2118,0.217259999999999,0.21644,0.223580000000001,0.23014,0.00184170424552913
"onepoint",20,0.4,4,1,1.6,"0.000, 0.000, 0.000, 0.400",0.21554,0.21872,0.21914,0.232459999999999,0.239819999999999,0.240520000000001,0.001889033342215
"onepoint",20,0.4,5,2,6.6,"0.000, 0.000, 0.000, 0.400",0.226,0.25202,0.23712,0.384179999999999,0.384319999999999,0.384300000000001,0.00217525045730371
"onepoint",20,0.6,1,0,0,"0.000, 0.000, 0.000, 0.600",0.44708,0.430600000000001,0.44836,0.41564,0.432859999999999,0.44964,0.00220401175314471
"onepoint",20,0.6,2,0,6,"0.000, 0.000, 0.000, 0.600",0.472199999999999,0.484940000000001,0.476760000000001,0.618339999999999,0.608380000000001,0.611740000000001,0.00217253604987351
"onepoint",20,0.6,3,0.5,1,"0.000, 0.000, 0.000, 0.600",0.454060000000001,0.453120000000001,0.45714,0.464580000000001,0.473180000000001,0.4784,0.00223045028458381
"onepoint",20,0.6,4,1,1.6,"0.000, 0.000, 0.000, 0.600",0.456039999999999,0.46748,0.46364,0.506299999999999,0.51354,0.513180000000001,0.00223589047137824
"onepoint",20,0.6,5,2,6.6,"0.000, 0.000, 0.000, 0.600",0.472699999999999,0.53352,0.49746,0.74188,0.74198,0.74196,0.00195700825547569
"onepoint",20,0.8,1,0,0,"0.000, 0.000, 0.000, 0.800",0.718780000000002,0.69314,0.719400000000003,0.684580000000001,0.694859999999998,0.720319999999999,0.00207812523010525
"onepoint",20,0.8,2,0,6,"0.000, 0.000, 0.000, 0.800",0.7283,0.7343,0.73124,0.85934,0.84852,0.85192,0.00155482966526884
"onepoint",20,0.8,3,0.5,1,"0.000, 0.000, 0.000, 0.800",0.71796,0.72146,0.722300000000001,0.73544,0.739720000000001,0.74398,0.00197265306833209
"onepoint",20,0.8,4,1,1.6,"0.000, 0.000, 0.000, 0.800",0.7215,0.749140000000001,0.731139999999999,0.786939999999999,0.79374,0.790499999999999,0.00183120417430717
"onepoint",20,0.8,5,2,6.6,"0.000, 0.000, 0.000, 0.800",0.73162,0.81376,0.757819999999999,0.9439,0.9439,0.94388,0.001029104367885
"onepoint",20,1,1,0,0,"0.000, 0.000, 0.000, 1.000",0.901320000000001,0.885160000000001,0.90066,0.879380000000001,0.885979999999999,0.90072,0.00145650826018941
"onepoint",20,1,2,0,6,"0.000, 0.000, 0.000, 1.000",0.89396,0.88756,0.8941,0.96508,0.95866,0.96116,0.000820982260466085
"onepoint",20,1,3,0.5,1,"0.000, 0.000, 0.000, 1.000",0.90314,0.90718,0.9054,0.9148,0.91698,0.91804,0.00124852681188671
"onepoint",20,1,4,1,1.6,"0.000, 0.000, 0.000, 1.000",0.904479999999998,0.930259999999999,0.911020000000001,0.94612,0.949279999999999,0.947179999999998,0.00100972219545774
"onepoint",20,1,5,2,6.6,"0.000, 0.000, 0.000, 1.000",0.901559999999999,0.9556,0.919999999999999,0.99332,0.99334,0.99334,0.000364290477503871
"onepoint",20,1.2,1,0,0,"0.000, 0.000, 0.000, 1.200",0.9783,0.97114,0.97782,0.96996,0.97144,0.97776,0.00076338192800197
"onepoint",20,1.2,2,0,6,"0.000, 0.000, 0.000, 1.200",0.96896,0.9588,0.96808,0.99362,0.99136,0.99252,0.000356070094223035
"onepoint",20,1.2,3,0.5,1,"0.000, 0.000, 0.000, 1.200",0.97868,0.980999999999999,0.97926,0.98404,0.98394,0.98376,0.000560451218216183
"onepoint",20,1.2,4,1,1.6,"0.000, 0.000, 0.000, 1.200",0.97996,0.9894,0.98266,0.99244,0.99306,0.9924,0.00038737182138096
"onepoint",20,1.2,5,2,6.6,"0.000, 0.000, 0.000, 1.200",0.97408,0.99372,0.981019999999999,0.99936,0.99936,0.99934,0.000113100875328185
"onepoint",20,1.4,1,0,0,"0.000, 0.000, 0.000, 1.400",0.99724,0.99568,0.9971,0.99518,0.99564,0.99706,0.000309734324865673
"onepoint",20,1.4,2,0,6,"0.000, 0.000, 0.000, 1.400",0.99232,0.98606,0.99142,0.99918,0.99848,0.9989,0.000128009968361846
"onepoint",20,1.4,3,0.5,1,"0.000, 0.000, 0.000, 1.400",0.99668,0.99718,0.99684,0.99782,0.99766,0.99776,0.000208578407319644
"onepoint",20,1.4,4,1,1.6,"0.000, 0.000, 0.000, 1.400",0.99728,0.99914,0.99788,0.99936,0.9994,0.99926,0.000113100875328185
"onepoint",20,1.4,5,2,6.6,"0.000, 0.000, 0.000, 1.400",0.99498,0.99958,0.99666,0.99998,0.99998,0.99998,1.999979999901e-05
"onepoint",20,1.6,1,0,0,"0.000, 0.000, 0.000, 1.600",0.99974,0.99934,0.99972,0.9994,0.99936,0.9997,0.000109511643216605
"onepoint",20,1.6,2,0,6,"0.000, 0.000, 0.000, 1.600",0.9982,0.99496,0.99752,0.99978,0.99972,0.99976,6.63251988312132e-05
"onepoint",20,1.6,3,0.5,1,"0.000, 0.000, 0.000, 1.600",0.99976,0.99984,0.99982,0.99984,0.99986,0.99986,5.65640168304794e-05
"onepoint",20,1.6,4,1,1.6,"0.000, 0.000, 0.000, 1.600",0.99962,0.99994,0.99972,0.99992,0.99994,0.99994,3.9998399967991e-05
"onepoint",20,1.6,5,2,6.6,"0.000, 0.000, 0.000, 1.600",0.99924,0.99996,0.99948,1,1,1,0
"onepoint",50,0,1,0,0,"0.000, 0.000, 0.000, 0.000",0.0489799999999998,0.0479400000000001,0.0496600000000001,0.0479399999999998,0.0484400000000005,0.0501200000000002,0.000955424056636631
"onepoint",50,0,2,0,6,"0.000, 0.000, 0.000, 0.000",0.0473800000000006,0.044999999999999,0.0475000000000004,0.0476000000000001,0.04778,0.0478800000000004,0.00095219997899601
"onepoint",50,0,3,0.5,1,"0.000, 0.000, 0.000, 0.000",0.0513400000000001,0.0509599999999984,0.0512199999999995,0.0512199999999994,0.0534199999999993,0.0540600000000002,0.00098586521999713
"onepoint",50,0,4,1,1.6,"0.000, 0.000, 0.000, 0.000",0.0495199999999997,0.0516600000000008,0.0498999999999996,0.0495199999999998,0.0496199999999997,0.0495999999999999,0.000970234709748109
"onepoint",50,0,5,2,6.6,"0.000, 0.000, 0.000, 0.000",0.0467400000000002,0.0531400000000004,0.0485199999999997,0.0478000000000001,0.0478000000000001,0.0478000000000001,0.000954098108162888
"onepoint",50,0.2,1,0,0,"0.000, 0.000, 0.000, 0.200",0.150320000000001,0.148740000000001,0.150780000000001,0.14414,0.149899999999999,0.151900000000001,0.00157075561689271
"onepoint",50,0.2,2,0,6,"0.000, 0.000, 0.000, 0.200",0.1529,0.155680000000001,0.153240000000001,0.21396,0.21444,0.214400000000001,0.00183401809369482
"onepoint",50,0.2,3,0.5,1,"0.000, 0.000, 0.000, 0.200",0.150760000000001,0.15176,0.15214,0.155800000000001,0.159499999999999,0.1602,0.00162189000860108
"onepoint",50,0.2,4,1,1.6,"0.000, 0.000, 0.000, 0.200",0.151239999999999,0.151580000000001,0.152080000000001,0.16674,0.16674,0.166760000000001,0.00166695994193022
"onepoint",50,0.2,5,2,6.6,"0.000, 0.000, 0.000, 0.200",0.149300000000001,0.161359999999999,0.153740000000001,0.271959999999998,0.271959999999998,0.271959999999998,0.00198996360971752
"onepoint",50,0.4,1,0,0,"0.000, 0.000, 0.000, 0.400",0.50832,0.501079999999999,0.50844,0.48448,0.501400000000001,0.508300000000001,0.00223499051273154
"onepoint",50,0.4,2,0,6,"0.000, 0.000, 0.000, 0.400",0.518480000000003,0.528140000000002,0.520940000000002,0.705099999999999,0.705019999999998,0.704940000000003,0.00203928413910372
"onepoint",50,0.4,3,0.5,1,"0.000, 0.000, 0.000, 0.400",0.508779999999999,0.513320000000001,0.510939999999999,0.53164,0.536459999999999,0.537479999999999,0.00223158647782245
"onepoint",50,0.4,4,1,1.6,"0.000, 0.000, 0.000, 0.400",0.51144,0.52708,0.51644,0.579820000000001,0.579879999999999,0.579860000000002,0.00220739107364327
"onepoint",50,0.4,5,2,6.6,"0.000, 0.000, 0.000, 0.400",0.520239999999999,0.5665,0.53734,0.84378,0.84378,0.84378,0.00162367060452544
