"design","effect_size","shift_scale","eta_h_sq","omega_sq","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","fisher_power","welch_power","mean_power","rank_power","sw_power","gate_power","fisher_mc_se","welch_mc_se","mean_mc_se","rank_mc_se","sw_mc_se","gate_mc_se","route_fisher_probability","route_welch_probability","route_rank_probability"
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",1.08606710202999,0.0708739124478115,0.0730748648185426,"0.0000, 0.2715, 0.5430, 0.8146","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"normal",1,0,0,0.25846,0.23684,0.26136,0.22728,0.2391,0.2637,0.00195784794302316,0.00190129857939252,0.00196494758403373,0.00187416008707901,0.00190751770633984,0.00197059539226093,0.88542,0.06524,0.04934
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.862633538305991,0.0708722415840418,0.0473786864915199,"0.0000, 0.2157, 0.4313, 0.6470","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"F.P.",2,0,6,0.19284,0.20126,0.1921,0.2353,0.2274,0.23918,0.0017643850736163,0.00179306671599246,0.00176180356453266,0.00189701823923757,0.00187450921576822,0.00190773649962462,0.50532,0.05228,0.4424
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",1.03318922613287,0.0708730393286795,0.0665947540370122,"0.0000, 0.2583, 0.5166, 0.7749","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"F.P.",3,0.5,1,0.24054,0.24962,0.24666,0.23544,0.25292,0.2578,0.00191144190808928,0.00193550952258055,0.00192779067535871,0.0018974087930649,0.00194397260062996,0.00195621655242972,0.75902,0.07108,0.1699
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.988859229326836,0.0708731759388011,0.0613457708525237,"0.0000, 0.2472, 0.4944, 0.7416","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"F.P.",4,1,1.6,0.22396,0.27028,0.23534,0.24418,0.26858,0.26134,0.00186441367941774,0.00198609527263926,0.0018971298553341,0.00192122943762581,0.00198214421069709,0.00196489900198458,0.49048,0.07906,0.43046
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.76540292101895,0.0708721929046365,0.0376799075389646,"0.0000, 0.1914, 0.3827, 0.5741","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"F.P.",5,2,6.6,0.14898,0.26492,0.17386,0.26086,0.26772,0.2651,0.00159238788993134,0.00197351155861829,0.00169489055929874,0.00196373145007152,0.00198013131685755,0.00197394017133245,0.07814,0.04268,0.87918
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",1.08606710202999,0.0708739124478115,0.0730748648185426,"0.0000, 0.2715, 0.5430, 0.8146","1.0, 1.0, 1.0, 1.0","10, 16, 24, 30",20,"normal",1,0,0,0.51824,0.4897,0.5181,0.48392,0.49216,0.51962,0.00223457961326062,0.00223559347825136,0.00223460238073801,0.00223491133425915,0.00223579307808214,0.00223434579060628,0.89238,0.05856,0.04906
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.862633538305991,0.0708722415840418,0.0473786864915199,"0.0000, 0.2157, 0.4313, 0.6470","1.0, 1.0, 1.0, 1.0","10, 16, 24, 30",20,"F.P.",2,0,6,0.3562,0.38094,0.35802,0.48288,0.47722,0.47876,0.00214159548001017,0.00217174914020934,0.00214402275920756,0.00223475683509415,0.00223374605360591,0.00223404951780394,0.23332,0.01792,0.74876
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",1.03318922613287,0.0708730393286795,0.0665947540370122,"0.0000, 0.2583, 0.5166, 0.7749","1.0, 1.0, 1.0, 1.0","10, 16, 24, 30",20,"F.P.",3,0.5,1,0.48092,0.4821,0.48408,0.48916,0.49554,0.50336,0.00223443931938193,0.00223463460100304,0.00223493424332798,0.00223554241471729,0.00223597901779064,0.0022360174883037,0.63658,0.0492,0.31422
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.988859229326836,0.0708731759388011,0.0613457708525237,"0.0000, 0.2472, 0.4944, 0.7416","1.0, 1.0, 1.0, 1.0","10, 16, 24, 30",20,"F.P.",4,1,1.6,0.44826,0.4709,0.45534,0.4938,0.5002,0.50126,0.00222406372390721,0.00223227771569758,0.00222713037067882,0.00223589606198499,0.00223606779861434,0.00223606087752548,0.15928,0.0257,0.81502
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.76540292101895,0.0708721929046365,0.0376799075389646,"0.0000, 0.1914, 0.3827, 0.5741","1.0, 1.0, 1.0, 1.0","10, 16, 24, 30",20,"F.P.",5,2,6.6,0.29316,0.39054,0.31268,0.50066,0.5008,0.50076,0.00203576626556194,0.00218182725439023,0.00207321594437241,0.00223606602943652,0.00223606511533095,0.00223606539439257,0.00086,0.00082,0.99832
