"design","effect_size","shift_scale","omega_sq","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","fisher_power","welch_power","mean_power","rank_power","sw_power","gate_power","fisher_mc_se","welch_mc_se","mean_mc_se","rank_mc_se","sw_mc_se","gate_mc_se","route_fisher_probability","route_welch_probability","route_rank_probability"
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","50, 80, 120, 150",100,"F.P.",2,0,6,0.99822,0.99798,0.99818,0.99998,0.99998,0.99998,0.000188511622983836,0.000200794402312416,0.00019061414428106,1.999979999901e-05,1.999979999901e-05,1.999979999901e-05,4e-05,0,0.99996
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","50, 80, 120, 150",100,"F.P.",3,0.5,1,0.99896,0.99854,0.9989,0.9993,0.99926,0.99934,0.000144147036043065,0.000170755286887406,0.000148242369112207,0.000118280175853778,0.000121610229832853,0.000114853332559399,0.09242,0.006,0.90158
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","50, 80, 120, 150",100,"F.P.",4,1,1.6,0.99872,0.99816,0.99858,0.9995,0.9995,0.9995,0.000159897567211008,0.000191656693073837,0.000168403301630341,9.9974996874213e-05,9.9974996874213e-05,9.9974996874213e-05,0,0,1
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","50, 80, 120, 150",100,"F.P.",5,2,6.6,0.99776,0.9969,0.99728,0.99998,0.99998,0.99998,0.000211422912665587,0.00024861174549888,0.000232920656018308,1.999979999901e-05,1.999979999901e-05,1.999979999901e-05,0,0,1
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","100, 160, 240, 300",200,"normal",1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.90004,0.04824,0.05172
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","100, 160, 240, 300",200,"F.P.",2,0,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","100, 160, 240, 300",200,"F.P.",3,0.5,1,1,1,1,1,1,1,0,0,0,0,0,0,0.0046,0.00034,0.99506
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","100, 160, 240, 300",200,"F.P.",4,1,1.6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.08116005840384,0.072463768115942,"0.0000, 0.2703, 0.5406, 0.8109","1.0, 1.0, 1.0, 1.0","100, 160, 240, 300",200,"F.P.",5,2,6.6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.6140012391569,0.072463768115942,"0.0000, 0.4035, 0.8070, 1.2105","1.0, 1.3, 1.7, 2.2","10, 10, 10, 10",10,"normal",1,0,0,0.26328,0.26456,0.27536,0.2407,0.2701,0.28106,0.00196958696990003,0.00197265306833209,0.00199768300988921,0.00191187609431155,0.00198567867491193,0.00201029986021986,0.50762,0.3668,0.12558
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.6140012391569,0.072463768115942,"0.0000, 0.4035, 0.8070, 1.2105","1.0, 1.3, 1.7, 2.2","10, 10, 10, 10",10,"F.P.",2,0,6,0.29892,0.32926,0.31952,0.38454,0.38598,0.39232,0.00204727542651203,0.00210165578723063,0.00208531517809659,0.00217563318783291,0.00217715153170375,0.00218359802894214,0.32002,0.12754,0.55244
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.6140012391569,0.072463768115942,"0.0000, 0.4035, 0.8070, 1.2105","1.0, 1.3, 1.7, 2.2","10, 10, 10, 10",10,"F.P.",3,0.5,1,0.24712,0.24936,0.2543,0.2224,0.2534,0.2596,0.00192899821461815,0.00193483637757822,0.00194746763772855,0.00185977547031893,0.00194519119882854,0.00196065213640768,0.4409,0.29382,0.26528
"balanced n, unequal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1.6140012391569,0.072463768115942,"0.0000, 0.4035, 0.8070, 1.2105","1.0, 1.3, 1.7, 2.2","10, 10, 10, 10",10,"F.P.",4,1,1.6,0.23492,0.23416,0.23398,0.19006,0.22846,0.23206,0.00189595671680553,0.00189382731208524,0.001893321734941,0.00175463498426311,0.00187758370465873,0.00188789913078003,0.30186,0.26184,0.4363
