"design_set","design","omega_sq_regime","effect_size","shift_scale","omega_sq","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","fisher_power","welch_power","mean_power","rank_power","sw_power","gate_power","fisher_mc_se","welch_mc_se","mean_mc_se","rank_mc_se","sw_mc_se","gate_mc_se","route_fisher_probability","route_welch_probability","route_rank_probability"
"brunner","balanced n, unequal SD","het","one-point alternative: last group shifted by 0.50",1,0.0110935023771791,"0.00, 0.00, 0.00, 0.50","1.0000, 1.4142, 2.0000, 2.2361","10, 10, 10, 10",10,"F.P.",2,0,6,0.09988,0.06906,0.08812,0.09998,0.09428,0.10776,0.00134092494644555,0.001133937532671,0.00126771341871892,0.0013415215212586,0.00130683802821926,0.00138670676352284,0.30822,0.13992,0.55186
"brunner","balanced n, unequal SD","het","one-point alternative: last group shifted by 0.50",1,0.0110935023771791,"0.00, 0.00, 0.00, 0.50","1.0000, 1.4142, 2.0000, 2.2361","10, 10, 10, 10",10,"F.P.",3,0.5,1,0.09332,0.06826,0.0834,0.07478,0.07514,0.08814,0.00130085646863903,0.0011278348496123,0.00123648243012184,0.00117633287465751,0.00117893155356874,0.00126784336887488,0.425,0.31602,0.25898
"brunner","balanced n, unequal SD","het","one-point alternative: last group shifted by 0.50",1,0.0110935023771791,"0.00, 0.00, 0.00, 0.50","1.0000, 1.4142, 2.0000, 2.2361","10, 10, 10, 10",10,"F.P.",4,1,1.6,0.08936,0.06912,0.07842,0.07246,0.07626,0.08366,0.00127573343924191,0.00113439345555235,0.00120225041983773,0.00115939249954448,0.00118696598434833,0.00123823264696098,0.29014,0.27452,0.43534
"brunner","balanced n, unequal SD","het","one-point alternative: last group shifted by 0.50",1,0.0110935023771791,"0.00, 0.00, 0.00, 0.50","1.0000, 1.4142, 2.0000, 2.2361","10, 10, 10, 10",10,"F.P.",5,2,6.6,0.08146,0.07348,0.07306,0.08758,0.09174,0.09356,0.0012233091874093,0.00116688208144611,0.00116380613849558,0.00126419732320552,0.00129092038794033,0.00130235576091942,0.06002,0.09456,0.84542
"brunner","balanced n, unequal SD","het","one-point alternative: last group shifted by 0.50",1,0.0110935023771791,"0.00, 0.00, 0.00, 0.50","1.0000, 1.4142, 2.0000, 2.2361","20, 20, 20, 20",20,"normal",1,0,0,0.14268,0.10492,0.1129,0.11976,0.1152,0.12182,0.00156411264044505,0.0013704874578047,0.00141529919098401,0.00145201613214179,0.00142778821959001,0.00146273639183552,0.15474,0.66278,0.18248
"brunner","balanced n, unequal SD","het","one-point alternative: last group shifted by 0.50",1,0.0110935023771791,"0.00, 0.00, 0.00, 0.50","1.0000, 1.4142, 2.0000, 2.2361","20, 20, 20, 20",20,"F.P.",2,0,6,0.15198,0.11098,0.12546,0.1692,0.16908,0.17168,0.00160550353222906,0.00140473086105489,0.00148134930654454,0.0016767311054549,0.00167625745993866,0.00168645176391144,0.06544,0.07426,0.8603
"brunner","balanced n, unequal SD","het","one-point alternative: last group shifted by 0.50",1,0.0110935023771791,"0.00, 0.00, 0.00, 0.50","1.0000, 1.4142, 2.0000, 2.2361","20, 20, 20, 20",20,"F.P.",3,0.5,1,0.13708,0.0956,0.10454,0.10504,0.1066,0.11182,0.00153810970740061,0.00131499536120855,0.00136829374331684,0.00137117904301371,0.00138011912529318,0.00140937069360761,0.12812,0.39652,0.47536
"brunner","balanced n, unequal SD","het","one-point alternative: last group shifted by 0.50",1,0.0110935023771791,"0.00, 0.00, 0.00, 0.50","1.0000, 1.4142, 2.0000, 2.2361","20, 20, 20, 20",20,"F.P.",4,1,1.6,0.12776,0.09102,0.09636,0.095,0.09956,0.10086,0.0014928990749545,0.00128635422493184,0.00131965715547638,0.00131129706779204,0.00133901311718743,0.00134675358102364,0.04544,0.19052,0.76404
"brunner","balanced n, unequal SD","het","one-point alternative: last group shifted by 0.50",1,0.0110935023771791,"0.00, 0.00, 0.00, 0.50","1.0000, 1.4142, 2.0000, 2.2361","20, 20, 20, 20",20,"F.P.",5,2,6.6,0.1269,0.09774,0.09766,0.13444,0.13502,0.13506,0.00148859927448592,0.00132805792343557,0.00132757315730622,0.00152555489183444,0.00152832980472148,0.00152852083008378,0.00048,0.00472,0.9948
"brunner","balanced n, unequal SD","het","one-point alternative: last group shifted by 0.50",1,0.0110935023771791,"0.00, 0.00, 0.00, 0.50","1.0000, 1.4142, 2.0000, 2.2361","30, 30, 30, 30",30,"normal",1,0,0,0.18634,0.13446,0.13656,0.15546,0.15062,0.15214,0.00174136385858901,0.00152565073591566,0.00153565208559752,0.00162044554613847,0.00159958504369102,0.0016061968770982,0.03126,0.71628,0.25246
