"design","mean_n_per_group","n_per_group","sd_per_group","distribution","panel","skew","excess_kurtosis","rank_null_true","rank_rejection","ats_h0p_rejection","ats_h0p_mc_se"
"balanced n, equal SD",200,"200, 200, 200, 200","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,FALSE,0.04966,0.05138,0.000987320572053475
"balanced n, equal SD",200,"200, 200, 200, 200","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,FALSE,0.05048,0.05032,0.00097762873934843
"balanced n, unequal SD",200,"200, 200, 200, 200","1.0, 1.3, 1.7, 2.2","normal",1,0,0,TRUE,0.05524,0.05022,0.000976708263505536
"balanced n, unequal SD",200,"200, 200, 200, 200","1.0, 1.3, 1.7, 2.2","F.P.",2,0,6,TRUE,0.05214,0.05016,0.000976155463028303
"balanced n, unequal SD",200,"200, 200, 200, 200","1.0, 1.3, 1.7, 2.2","F.P.",3,0.5,1,FALSE,0.09722,0.085,0.00124719685695563
"balanced n, unequal SD",200,"200, 200, 200, 200","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,FALSE,0.3068,0.28814,0.00202541521866505
"balanced n, unequal SD",200,"200, 200, 200, 200","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,FALSE,0.89454,0.87562,0.00147587001866696
"unbalanced n, equal SD",200,"100, 160, 240, 300","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.04892,0.0501,0.000975602275520101
"unbalanced n, equal SD",200,"100, 160, 240, 300","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.05084,0.04916,0.000966884630139501
"unbalanced n, equal SD",200,"100, 160, 240, 300","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.05164,0.0505,0.000979282900902492
"unbalanced n, equal SD",200,"100, 160, 240, 300","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,FALSE,0.05122,0.05144,0.000987865642686292
"unbalanced n, equal SD",200,"100, 160, 240, 300","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,FALSE,0.05024,0.04838,0.000959576735858055
"unbalanced n, larger n with larger SD",200,"100, 160, 240, 300","1.0, 1.3, 1.7, 2.2","normal",1,0,0,TRUE,0.03322,0.05046,0.000978915608211454
"unbalanced n, larger n with larger SD",200,"100, 160, 240, 300","1.0, 1.3, 1.7, 2.2","F.P.",2,0,6,TRUE,0.03488,0.04986,0.000973385641973416
"unbalanced n, larger n with larger SD",200,"100, 160, 240, 300","1.0, 1.3, 1.7, 2.2","F.P.",3,0.5,1,FALSE,0.06076,0.08882,0.0012722500351739
"unbalanced n, larger n with larger SD",200,"100, 160, 240, 300","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,FALSE,0.22914,0.29636,0.00204220836547107
"unbalanced n, larger n with larger SD",200,"100, 160, 240, 300","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,FALSE,0.85042,0.90862,0.0012886403346163
"unbalanced n, larger n with smaller SD",200,"100, 160, 240, 300","2.2, 1.7, 1.3, 1.0","normal",1,0,0,TRUE,0.08502,0.0503,0.000977444729895251
"unbalanced n, larger n with smaller SD",200,"100, 160, 240, 300","2.2, 1.7, 1.3, 1.0","F.P.",2,0,6,TRUE,0.07762,0.04738,0.000950106684536005
"unbalanced n, larger n with smaller SD",200,"100, 160, 240, 300","2.2, 1.7, 1.3, 1.0","F.P.",3,0.5,1,FALSE,0.12594,0.07244,0.00115924498187398
"unbalanced n, larger n with smaller SD",200,"100, 160, 240, 300","2.2, 1.7, 1.3, 1.0","F.P.",4,1,1.6,FALSE,0.31336,0.17744,0.00170853765776467
"unbalanced n, larger n with smaller SD",200,"100, 160, 240, 300","2.2, 1.7, 1.3, 1.0","F.P.",5,2,6.6,FALSE,0.85008,0.64882,0.00213472531066646
