"grid","design","panel","sd_per_group","group_mean_offsets","psi","c_kw_psi"
"omega_fixed","unbalanced n, equal SD",2,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2703, 0.5406, 0.8109","0.3650, 0.4537, 0.5464, 0.6349",0.0407143350355103
"omega_fixed","unbalanced n, equal SD",3,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2703, 0.5406, 0.8109","0.3845, 0.4603, 0.5393, 0.6159",0.0298836100594382
"omega_fixed","unbalanced n, equal SD",4,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2703, 0.5406, 0.8109","0.3795, 0.4595, 0.5414, 0.6195",0.0321480209350567
"omega_fixed","unbalanced n, equal SD",5,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2703, 0.5406, 0.8109","0.3546, 0.4493, 0.5501, 0.6460",0.0475493201366518
"omega_fixed","balanced n, unequal SD",1,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4035, 0.8070, 1.2105","0.3883, 0.4742, 0.5443, 0.5932",0.0238051915999759
"omega_fixed","balanced n, unequal SD",2,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4035, 0.8070, 1.2105","0.3590, 0.4678, 0.5555, 0.6177",0.0378586494729229
"omega_fixed","balanced n, unequal SD",3,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4035, 0.8070, 1.2105","0.3903, 0.4754, 0.5440, 0.5903",0.0227283492043736
"omega_fixed","balanced n, unequal SD",4,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4035, 0.8070, 1.2105","0.3979, 0.4815, 0.5403, 0.5803",0.0188471293621344
"omega_fixed","balanced n, unequal SD",5,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4035, 0.8070, 1.2105","0.3862, 0.4820, 0.5474, 0.5844",0.0226488815635392
"omega_fixed","unbalanced n, larger n with larger SD",1,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4793, 0.9587, 1.4380","0.3690, 0.4691, 0.5514, 0.6105",0.0329647051150854
"omega_fixed","unbalanced n, larger n with larger SD",2,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4793, 0.9587, 1.4380","0.3368, 0.4621, 0.5647, 0.6364",0.0508773998910943
"omega_fixed","unbalanced n, larger n with larger SD",3,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4793, 0.9587, 1.4380","0.3681, 0.4710, 0.5520, 0.6088",0.0327670572642012
"omega_fixed","unbalanced n, larger n with larger SD",4,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4793, 0.9587, 1.4380","0.3753, 0.4752, 0.5499, 0.5996",0.0285831221390781
"omega_fixed","unbalanced n, larger n with larger SD",5,"1.0, 1.3, 1.7, 2.2","0.0000, 0.4793, 0.9587, 1.4380","0.3558, 0.4738, 0.5587, 0.6118",0.0374273682828915
"omega_fixed","unbalanced n, larger n with smaller SD",1,"2.2, 1.7, 1.3, 1.0","0.0000, 0.3884, 0.7768, 1.1652","0.4099, 0.4577, 0.5231, 0.6093",0.022400840474556
"omega_fixed","unbalanced n, larger n with smaller SD",2,"2.2, 1.7, 1.3, 1.0","0.0000, 0.3884, 0.7768, 1.1652","0.3854, 0.4471, 0.5314, 0.6362",0.0354655701553895
"omega_fixed","unbalanced n, larger n with smaller SD",3,"2.2, 1.7, 1.3, 1.0","0.0000, 0.3884, 0.7768, 1.1652","0.3960, 0.4536, 0.5293, 0.6211",0.0284892864350527
"omega_fixed","unbalanced n, larger n with smaller SD",4,"2.2, 1.7, 1.3, 1.0","0.0000, 0.3884, 0.7768, 1.1652","0.3859, 0.4476, 0.5335, 0.6330",0.034565322515217
"omega_fixed","unbalanced n, larger n with smaller SD",5,"2.2, 1.7, 1.3, 1.0","0.0000, 0.3884, 0.7768, 1.1652","0.3545, 0.4376, 0.5441, 0.6638",0.0538521811776086
"etaH_fixed","balanced n, equal SD",1,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75","0.3975, 0.4651, 0.5347, 0.6027",0.0234652232685712
"etaH_fixed","balanced n, equal SD",2,"1.0, 1.0, 1.0, 1.0","0.0000, 0.1984, 0.3968, 0.5951","0.3985, 0.4650, 0.5338, 0.6028",0.0232483112678056
"etaH_fixed","balanced n, equal SD",3,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2384, 0.4767, 0.7151","0.3974, 0.4653, 0.5343, 0.6029",0.0234824702433043
"etaH_fixed","balanced n, equal SD",4,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2285, 0.4571, 0.6856","0.3969, 0.4652, 0.5343, 0.6035",0.0237340225236531
"etaH_fixed","balanced n, equal SD",5,"1.0, 1.0, 1.0, 1.0","0.0000, 0.1762, 0.3524, 0.5285","0.3973, 0.4655, 0.5343, 0.6029",0.023492454846731
"etaH_fixed","unbalanced n, equal SD",1,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2715, 0.5430, 0.8146","0.3893, 0.4622, 0.5371, 0.6114",0.0274729316705611
"etaH_fixed","unbalanced n, equal SD",2,"1.0, 1.0, 1.0, 1.0","0.0000, 0.2157, 0.4313, 0.6470","0.3888, 0.4633, 0.5367, 0.6113",0.0274542540330022
