"design","effect_size","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","rank_power","ps_kw_power","ps_kw_mc_se","ps_ats_power","ps_ats_mc_se"
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"F.P.",3,0.5,1,0.22394,0.27752,0.00200251167087735,0.20022,0.00178959186185007
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"F.P.",4,1,1.6,0.25016,0.32216,0.00208984657044483,0.21324,0.00183176801151237
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"F.P.",5,2,6.6,0.39952,0.49888,0.00223606236764541,0.28184,0.00201199510138569
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","10, 16, 24, 30",20,"normal",1,0,0,0.4129,0.48688,0.0022352980365043,0.3728,0.00216249929479757
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","10, 16, 24, 30",20,"F.P.",2,0,6,0.61666,0.68484,0.00207766298710835,0.55396,0.00222300840484241
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","10, 16, 24, 30",20,"F.P.",3,0.5,1,0.46264,0.53992,0.00222892975932397,0.39768,0.00218874675373831
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","10, 16, 24, 30",20,"F.P.",4,1,1.6,0.50616,0.5865,0.00220235215167784,0.40982,0.00219939795216782
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","10, 16, 24, 30",20,"F.P.",5,2,6.6,0.72052,0.79464,0.00180658390560749,0.55576,0.00222211980955123
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","15, 24, 36, 45",30,"normal",1,0,0,0.61038,0.67704,0.00209120462126498,0.5556,0.00222219999099991
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","15, 24, 36, 45",30,"F.P.",2,0,6,0.81734,0.86466,0.00152985675407863,0.7655,0.00189478098998275
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","15, 24, 36, 45",30,"F.P.",3,0.5,1,0.6605,0.73326,0.00197782593976315,0.58936,0.00220006722806372
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","15, 24, 36, 45",30,"F.P.",4,1,1.6,0.70054,0.77628,0.00186370255995961,0.60526,0.00218595668941541
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","15, 24, 36, 45",30,"F.P.",5,2,6.6,0.88856,0.92978,0.00114270863828012,0.7741,0.00187012935381486
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","25, 40, 60, 75",50,"normal",1,0,0,0.853,0.89242,0.00138568786961567,0.81428,0.00173912668658727
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","25, 40, 60, 75",50,"F.P.",2,0,6,0.96984,0.97984,0.000628547124724948,0.95126,0.000962958071776752
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","25, 40, 60, 75",50,"F.P.",3,0.5,1,0.89004,0.92268,0.00119450087986573,0.84288,0.0016274723075985
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","25, 40, 60, 75",50,"F.P.",4,1,1.6,0.91302,0.94346,0.00103289136311618,0.85544,0.00157265639222304
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","25, 40, 60, 75",50,"F.P.",5,2,6.6,0.98744,0.99358,0.000357177367704058,0.95856,0.00089132178701073
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","50, 80, 120, 150",100,"normal",1,0,0,0.9937,0.99652,0.000263358675573828,0.98958,0.000454123850948174
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","50, 80, 120, 150",100,"F.P.",2,0,6,0.99988,0.9999,4.47191234261113e-05,0.99976,6.92737179599909e-05
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","50, 80, 120, 150",100,"F.P.",3,0.5,1,0.9966,0.99812,0.000193724835785193,0.99348,0.000359930259911555
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","50, 80, 120, 150",100,"F.P.",4,1,1.6,0.9982,0.99906,0.000137048633703518,0.99464,0.000326535462086433
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","50, 80, 120, 150",100,"F.P.",5,2,6.6,0.99998,0.99998,1.999979999901e-05,0.99968,7.99871989758345e-05
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","100, 160, 240, 300",200,"normal",1,0,0,1,1,0,1,0
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","100, 160, 240, 300",200,"F.P.",2,0,6,1,1,0,1,0
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","100, 160, 240, 300",200,"F.P.",3,0.5,1,1,1,0,1,0
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","100, 160, 240, 300",200,"F.P.",4,1,1.6,1,1,0,1,0
